,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
167616,0.0334,Information Society,0.715,221440,0.631,0,2SyYypYYj8R1RysmnfxWxt,0.285,7,0.0742,-12.29,0,Lay All Your Love On Me,36,1988-06-21,0.0409,128.161,0.775,1988
89857,0.0746,Dismemberment Plan,0.447,258333,0.732,0,2RWQocwO9CRJL617lTZ5fi,0.08,6,0.0213,-5.694,0,What Do You Want Me to Say?,41,1999-01-01,0.0667,88.786,0.383,1999
3432,0.745,The 1937 Flood,0.5710000000000001,261413,0.447,0,0Sl5Jb6twzkk6Asn7lZbF7,0.0,0,0.206,-10.155,1,Midnight Special,0,1937,0.0727,110.986,0.746,1937
58775,0.98,Mohammed Abdel Wahab,0.34600000000000003,385098,0.218,0,75oZIVRkVt5PdRr0reJfk2,0.0228,8,0.208,-14.003,1,Alli Enktb Ala Algeben,1,1927-01-01,0.0489,128.239,0.292,1927
120789,0.129,Screeching Weasel,0.385,187307,0.97,0,1hFyrp5jX9AEClQFPGnWZ9,1.63e-05,9,0.163,-3.158,1,My Brain Hurts,34,1991-09-01,0.0632,105.674,0.611,1991
8996,0.974,Vince Guaraldi Trio,0.424,363960,0.0603,0,5HjVblzxpoFdSRMUGvRtbm,0.769,5,0.139,-23.073,1,Christmas Time Is Here - Instrumental,43,1965,0.0304,75.046,0.091,1965
155256,0.116,Alacranes Musical,0.649,155440,0.937,0,0vptu6EJmWwFyMkUPdw5P9,0.0,2,0.0528,-3.229,1,Magdalena,39,2002-11-01,0.13699999999999998,163.952,0.937,2002
11609,0.8590000000000001,Frankie Avalon,0.588,239907,0.306,0,5HhODl6Rl3nDulwv7S4Iyn,0.00034500000000000004,1,0.123,-13.491,0,Beauty School Dropout - From “Grease”,55,1978-04-04,0.0418,112.264,0.471,1978
49097,0.0609,Idris Muhammad,0.526,639600,0.574,0,21MdP1zGqerRKUmfvsoWQJ,0.465,10,0.111,-9.268,0,Loran's Dance,32,1974,0.0432,156.632,0.51,1974
33671,0.0366,Sublime,0.309,138991,0.77,0,1iD5bh9EmBSEC7KWJv6rAi,0.0,4,0.131,-5.412000000000001,0,New Realization - Demo,44,1991,0.0366,150.68,0.746,1991
68152,0.79,Steve Miller Band,0.281,66440,0.446,0,59jr5SQ9C6UgJdOR7fHkw9,0.963,3,0.166,-15.167,1,Threshold,33,1978-01-01,0.0563,68.968,0.0525,1978
47908,0.741,Gerardo Reyes,0.532,143960,0.362,0,63EZYmTmbFgvremcgO9t8V,1.26e-06,3,0.518,-8.244,1,Valemos Lo Mismo,37,1968,0.0433,81.765,0.797,1968
92942,0.113,Brantley Gilbert,0.476,220200,0.857,0,477pWnF7WFWb9Qs6g8rs4J,0.0,7,0.135,-5.733,1,Bottoms Up,58,2015-01-01,0.0432,169.975,0.5429999999999999,2015
76659,0.000169,Workout Music ,0.57,243342,0.828,0,5p6TKImHuPAiONOrsXMGwX,0.0636,11,0.0732,-8.738999999999999,0,Something Just Like This (Cardio + Running Workout Mix),6,2020-12-23,0.0667,145.03799999999995,0.76,2020
170754,0.0452,"Shankar-Ehsaan-Loy', 'Vasundhara Das', 'KK', 'Shaan', 'Loy Mendonsa",0.902,333093,0.772,0,3hCUkos0NxuSFl73oOHJzb,0.000129,6,0.12,-8.29,0,It's the Time to Disco,54,2003-09-20,0.0383,131.99200000000002,0.8079999999999999,2003
92540,0.0452,The Summer Set,0.6459999999999999,209733,0.926,0,0akM7cwQ5xLQIIlTeWzubk,0.0,6,0.2,-2.531,0,Boomerang,58,2013-04-15,0.15,93.998,0.797,2013
40043,0.989,"Roger Quilter', 'Walter Midgley",0.304,136160,0.0479,0,2pAJJVRu28X4d4SHFnnwVI,0.0,1,0.163,-21.476,1,To Daisies,0,1928,0.0322,103.001,0.181,1928
159567,0.069,Эрих Мария Ремарк,0.743,125400,0.14,1,5uCTiXDF9Q9Jh8P91ibXAi,0.00263,0,0.35600000000000004,-22.028,1,Часть 129.2 - Триумфальная арка,0,1945,0.919,71.553,0.578,1945
160361,0.993,"Samuel Barber', 'Leontyne Price",0.28800000000000003,54693,0.117,0,3GiLsKLOPCXB4prASTUBv2,1.95e-05,10,0.0867,-27.18,1,"Hermit Songs, Op. 29: No. 2, Church Bells at Night",2,1951,0.0686,81.301,0.0385,1951
77940,0.65,Tadeusz Dolega Mostowicz,0.6759999999999999,131600,0.157,0,28pqxXjDDr0KIAiBV26YIR,1.91e-05,9,0.0989,-24.124,0,Chapter 15.6 - Drugie życie doktora Murka,0,1936-12-23,0.947,110.882,0.568,1936
123474,0.0337,Nirvana,0.35100000000000003,152933,0.395,0,09aF9vhHwC187dABixAOfV,0.00454,10,0.122,-8.745,1,Marigold,52,2004-11-23,0.0361,176.83599999999996,0.302,2004
33669,0.4370000000000001,Ana Gabriel,0.628,288160,0.387,0,6CYf0PlFE36q772z8qrZrT,8.07e-06,10,0.3720000000000001,-9.23,1,Mi Talismán,58,1991-07-29,0.0261,109.038,0.61,1991
137149,0.7090000000000001,Moncho Santana,0.591,301400,0.752,0,1KvvRNWBKRcWE6aSxroIb0,0.000219,5,0.128,-11.405,0,Tendria Que Llorar Por Ti,46,1991,0.0445,179.81099999999995,0.967,1991
133971,0.242,The O'Jays,0.7290000000000001,222027,0.885,0,00ihnchhdgnad1IZSKrM3X,0.000106,10,0.915,-6.34,1,Survival,23,1975,0.096,118.371,0.634,1975
30018,0.35100000000000003,The Doobie Brothers,0.58,329027,0.535,0,3RfkudPVUehnrpI8zw2D1E,5.75e-05,0,0.161,-10.804,1,South City Midnight Lady,42,1973,0.0265,113.229,0.7090000000000001,1973
33930,0.218,Los Ángeles Azules,0.654,176560,0.545,0,2SNP0sm56HwUvZh7bL66pi,5.08e-05,3,0.147,-7.322,1,Entrega De Amor,56,1993-01-01,0.0433,85.795,0.8340000000000001,1993
110534,0.992,Francisco Canaro,0.877,170507,0.153,0,7LU6wFyEHMM9fMCHPMfVIS,0.00813,11,0.108,-11.512,1,Cocot de Lujo - Instrumental (Remasterizado),0,1928-09-16,0.0556,113.471,0.852,1928
60952,0.983,Sonny Boy Williamson I,0.505,187559,0.258,0,5xaJ0guQNDtSrIhH0XWuLq,2.59e-05,0,0.159,-14.695,1,Big Apple Blues,0,1941,0.119,82.74,0.8759999999999999,1941
75427,0.118,GlePac,0.867,209424,0.508,0,3XVU6Y09vDnimM7rCq2Bsc,0.0033,1,0.35100000000000003,-7.379,1,2014-2016 Best Years,0,2020-03-06,0.142,133.07299999999998,0.133,2020
116358,0.967,Ennio Morricone,0.38,219919,0.261,0,6gWT6wpfToW45fXg6obzf5,0.971,7,0.17800000000000002,-14.579,1,L'assoluto naturale,25,1969,0.0301,106.557,0.24,1969
102241,0.464,Lonnie Liston Smith,0.627,233333,0.5,0,3yEE2DnlGAjSNnOtZX9pHB,0.967,0,0.124,-15.021,1,Quiet Moments,32,1979-01-01,0.0324,119.88,0.29600000000000004,1979
141185,0.000199,"Korn', 'Skrillex",0.508,222640,0.894,1,25EgA1A1OZBRw25Mjyw08g,0.00135,1,0.476,-4.664,1,Get Up! (feat. Skrillex),56,2011-11-30,0.0779,139.944,0.248,2011
126578,5.7399999999999986e-05,Alan Morris,0.4270000000000001,69625,0.998,0,4UL6hXmqy0h4vEqDAW2qgH,0.94,2,0.366,-6.12,1,Tale Of Light (FYHYM2020),15,2020-12-30,0.107,138.018,0.14300000000000002,2020
60605,0.391,Jack Teagarden & His Band,0.536,353507,0.762,0,5fMvd9M7yglxY8a9YHWSMZ,0.8590000000000001,2,0.343,-10.442,0,That's a Plenty,0,1939,0.0726,128.585,0.826,1939
25392,0.991,"Modest Mussorgsky', 'Leonard Bernstein",0.366,333293,0.14,0,3cb8iiDGPjMvOHQuIvJowS,0.000107,2,0.105,-17.825,0,"Songs and Dances of Death: No. 3, Trepak",5,1950,0.045,65.575,0.0987,1950
18279,0.7090000000000001,Anthem Lights,0.417,155342,0.443,0,5J1iMCE9SnuOqwRwOpVxhp,0.0,5,0.217,-6.261,1,Best of 2010: Baby / Break Even / Need You Now / Dynamite / Tik Tok / Airplanes,44,2015-10-16,0.0328,119.903,0.47,2015
78716,0.996,"Kesari', 'Rajkumari",0.614,197709,0.115,0,3uSz4xD0nmu8vA9auhkb3u,0.894,10,0.12,-13.274,0,Meri Jholi Mein Hai Mere Chor,0,1942-12-31,0.29600000000000004,66.249,0.732,1942
144884,0.985,Bob Crosby & His Orchestra,0.655,162469,0.526,0,1RXfhVVfSou6Oc50bY8Doz,0.889,3,0.158,-13.347,1,High Society,0,1950-01-01,0.0626,124.651,0.914,1950
36637,0.645,Angelo Kelly,0.711,209680,0.362,0,4o2vLdkzKvaWBPxIvZDvPk,2.97e-05,9,0.0766,-9.573,1,Let Me Dream - Radio Edit 2007 Version,6,2016-05-06,0.0297,142.993,0.563,2016
164992,0.0488,Carole King,0.632,110733,0.28600000000000003,0,4Af5QDykrTYYZ0uTPA6air,0.000364,7,0.093,-12.953,1,Really Rosie,21,1975-02-01,0.0315,119.914,0.588,1975
172429,0.8059999999999999,Lana Del Rey,0.39,281947,0.255,0,1GNIYBU1XhMSlAxJXiUBbC,1.14e-06,6,0.0887,-9.676,0,Video Games - Remastered,48,2012-01-30,0.0299,122.056,0.179,2012
67585,0.757,Dr. Hook,0.475,203128,0.703,0,59MfqOcvBfhDEoVZ244YY5,6.720000000000001e-05,5,0.68,-12.2,1,I Got Stoned And I Missed It,37,1975-01-01,0.35600000000000004,170.74400000000003,0.745,1975
73896,0.0736,"Yaga & Mackie', 'Arcangel', 'De La Ghetto",0.86,303640,0.6920000000000001,0,1wYFvhxzKJ8W3B8TM0Ag2k,0.00247,1,0.182,-6.2929999999999975,0,Aparentemente,59,2007-01-01,0.112,93.992,0.85,2007
85210,0.0415,James Brown,0.77,259227,0.775,0,33FGKN2Uj1kilfOsPcwVOx,0.0,1,0.0392,-8.136000000000001,1,I'm Satisfied,37,1976-01-01,0.105,125.82,0.667,1976
67994,0.109,KISS,0.493,208027,0.93,0,5BMGKj445wO9EgMHMhAMIg,0.0,1,0.0825,-7.11,1,Plaster Caster,39,1977-06-30,0.107,137.013,0.498,1977
67688,0.581,Heart,0.441,229707,0.278,0,5x4hYFJSVmyLjvLDmeRGBO,0.000107,2,0.412,-16.541,1,How Deep It Goes,31,1975,0.0309,127.716,0.416,1975
34832,0.184,The Verve,0.442,304880,0.52,0,15kLz0zNFdtsaJdXKSGmTU,0.0,0,0.154,-8.648,1,The Drugs Don't Work,63,1997-09-29,0.0261,77.437,0.177,1997
24670,0.913,Shyam,0.574,152307,0.134,0,15VFQdcY9IGVVAsfJsMNKm,2.77e-06,4,0.119,-12.512,1,Yeh To Bata Mere Khuda,0,1946-01-01,0.0444,93.528,0.54,1946
10075,0.25,The Doors,0.5489999999999999,434720,0.722,0,14XWXWv5FoCbFzLksawpEe,0.0138,11,0.11,-11.729,0,Riders on the Storm,73,1971-04-19,0.0283,103.885,0.716,1971
171035,0.575,Timmy Thomas,0.87,277973,0.455,0,722E6CPY8biq4sUnf40u6Y,0.648,7,0.051,-15.31,0,Why Can't We Live Together,48,2005-09-20,0.0342,105.658,0.961,2005
131206,0.979,"Johannes Brahms', 'Glenn Gould",0.271,131227,0.273,0,5vECybRXUfdt4YuoGwna59,0.863,9,0.0947,-18.823,1,"Intermezzo No. 6 in A Major, Op. 76 - Andante con moto - Remastered",14,1961,0.0356,108.571,0.242,1961
116539,0.95,Elton John,0.423,286293,0.111,0,0Q3YxRlzru7yKT0Rwjv5xM,1.7199999999999998e-05,7,0.136,-13.218,0,First Episode At Hienton,30,1970-04-10,0.0328,131.692,0.131,1970
155824,0.721,"P!nk', 'Indigo Girls",0.5870000000000001,273627,0.395,0,6ndF1XQNseMhJGp7wAAILs,0.0,10,0.119,-7.282999999999999,1,Dear Mr. President (feat. Indigo Girls),56,2006-04-04,0.0324,131.711,0.328,2006
102664,0.0494,George Strait,0.7859999999999999,186227,0.464,0,07TaM7I6HzYHkybCxy5o9D,0.0,5,0.0702,-15.778,1,Every Time You Throw Dirt On Her (You Lose A Little Ground),25,1981-01-01,0.0301,115.719,0.953,1981
25425,0.72,"Georgette Heyer', 'Brigitte Carlsen",0.7070000000000001,142695,0.172,0,1MvWyija9eAkSKprmVKXJT,0.0,9,0.234,-20.57,0,Kapitel 59 - Die drei Ehen der Grand Sophy,7,1950,0.957,108.911,0.748,1950
140189,0.0762,Jahtones,0.5539999999999999,243000,0.6779999999999999,0,6hlKWAU2ZL6ElpqeyEet9O,0.0,8,0.109,-4.88,1,(When You Gonna) Give It up to Me,0,2020-06-16,0.22,121.007,0.537,2020
166309,0.684,Camilo Sesto,0.491,200200,0.34600000000000003,0,0IMZLON1QTqFNUL2rcyf4m,0.0,1,0.118,-14.751,1,Si Tú Te Vas,33,1981-04-01,0.0338,140.588,0.556,1981
65132,0.945,Wes Montgomery,0.562,390560,0.363,0,24XRiOjuTMhWjF7jFSMaQ5,0.934,10,0.118,-14.728,0,Besame Mucho - Take 3,29,1963,0.0355,110.547,0.848,1963
134524,0.591,Fleetwood Mac,0.698,222173,0.537,0,4LEcV000PD09f7J9Wv5b4x,0.0,11,0.0631,-6.38,1,I Don't Want to Know - Early Take,21,1977-02-04,0.0459,136.76,0.939,1977
53313,0.184,Eraserheads,0.524,447333,0.503,0,135ggzbjOogZ75IQ0LQi8r,0.0,6,0.264,-11.79,1,Ang Huling El Bimbo,59,1995-12-21,0.0245,89.49700000000001,0.436,1995
130656,0.964,"Giacomo Puccini', 'Nicola Zaccaria', 'Antonino Votto', 'Orchestra Del Teatro Alla Scala Di Milan', 'Orchestra Del Teatro Alla Scala, Milano",0.135,103427,0.0466,0,57M9HafGQW14w9UEuuyNjG,0.0715,7,0.123,-24.104,1,"Schaunard, ognuno per diversa via (Colline/Schaunard) - 1997 Remastered Version",14,1958,0.0396,172.658,0.103,1958
86285,0.2,George Strait,0.621,208600,0.456,0,3mp2obu2KA6BX6Md8KkJSS,0.0,7,0.175,-13.322,1,The Only Thing I Have Left,30,1982-01-01,0.0286,108.237,0.338,1982
168263,0.99,Koutev Bulgarian National Ensemble,0.691,72133,0.262,0,3ZMkCOpMO9EFk5gpakn2Ss,1.53e-06,7,0.0878,-13.146,0,"Bre, Petrunko (Ho! Dear Petroona)",41,1991-01-01,0.0377,89.29799999999999,0.722,1991
43453,0.987,"Frédéric Chopin', 'Vladimir Horowitz",0.365,546644,0.159,0,1OhnEjdPJ3l7ALxfB9I8HB,0.915,7,0.374,-20.556,0,"Ballade No. 1 in G Minor, Op. 23",1,1946,0.0445,111.585,0.0398,1946
122168,0.73,George Michael,0.563,320600,0.188,0,2w4a4ur2uRf530cbzyTlWo,1.03e-06,7,0.106,-13.363,1,I Can't Make You Love Me,49,1998-11-09,0.0322,115.818,0.12,1998
134969,0.000449,Michael Schenker Group,0.305,257560,0.92,0,5CbaJUpxCKc8a3Zx33NrOI,0.86,2,0.39,-7.774,1,Into the Arena - 2009 Remaster,34,1980-01-01,0.118,109.097,0.35600000000000004,1980
49014,0.452,Chris LeDoux,0.7390000000000001,158667,0.386,0,32w0UYuBdxeKZ1yN7G5tIW,1.15e-05,5,0.126,-12.079,1,Copenhagen Angel,33,1973-01-01,0.0357,131.05700000000002,0.892,1973
120999,0.959,Chet Baker,0.354,190493,0.0524,0,54foBHYL7zwkEamuo2rtal,0.0344,11,0.107,-17.253,1,Everytime We Say Goodbye,44,1992-09-11,0.0335,88.281,0.239,1992
44918,0.913,Chet Baker Quartet,0.495,191960,0.35100000000000003,0,3INXaZ2BXAeaVShoHiIkZy,0.936,11,0.236,-10.574000000000002,0,Easy To Love,8,1953,0.0918,181.962,0.6859999999999999,1953
70573,0.0845,Traveling Wilburys,0.4970000000000001,195000,0.959,0,74i07fyJWNPDR5q56Wi8vU,9.74e-06,7,0.205,-4.988,1,She's My Baby,42,1990-10-29,0.0613,141.22,0.6779999999999999,1990
87110,0.046,The Fabulous Thunderbirds,0.581,200960,0.75,0,5rCGe4yc1W6BEOSBb48lW9,0.00391,4,0.434,-8.456,1,Tuff Enuff,32,1986,0.0378,116.156,0.693,1986
121558,0.46,Smokin' Armadillos,0.5770000000000001,272840,0.455,0,5GmHlMBw6byLe68ODFsLGV,0.000943,4,0.095,-11.611,0,Red Rock,35,1995-08-01,0.0324,76.632,0.334,1995
27076,0.893,"La Sonora Matancera', 'Celia Cruz",0.649,175400,0.118,0,58aiWPefNSAE3uLR7zdjHL,0.0007700000000000001,7,0.126,-15.968,1,Feliz Navidad,28,1958-01-01,0.044,105.077,0.462,1958
104863,0.306,Al B. Sure!,0.635,354960,0.522,0,6oPnKLqVBDI0SoAzxoMlKN,0.0,2,0.127,-10.498,1,Right Now,34,1992-09-22,0.0536,163.88099999999997,0.47,1992
106471,1.12e-05,"Fanatico', 'Martin Eyerer",0.764,383961,0.871,0,7jNOfqnKVxj2ACN9onXGhv,0.21,7,0.0989,-7.03,1,2000 Light Years - Martin Eyerer Remix,0,2014-02-02,0.054000000000000006,123.997,0.45,2014
87170,0.564,"Rick Moranis', 'Michelle Weeks', 'Tichina Arnold', 'Tisha Campbell",0.321,203467,0.38,0,28dDi6q7AU01jpwu5OSLOa,0.0,9,0.177,-15.405,1,The Meek Shall Inherit,31,1986-11-24,0.119,77.457,0.359,1986
40063,0.525,Эрнест Хемингуэй,0.698,113167,0.226,1,3RmO1jwVwrdU1n1epxwZ04,0.0,0,0.416,-19.995,1,Часть 61.3 - Прощай оружие,0,1929,0.937,74.945,0.848,1929
106598,0.8079999999999999,Alison Krauss & Union Station,0.44,190467,0.368,0,6xcSL2he3cuh2OSkAlbubf,3.86e-05,10,0.111,-11.454,1,The Lucky One,49,2001-08-14,0.0311,168.75400000000005,0.732,2001
5308,0.805,Gene Autry,0.8370000000000001,150160,0.354,0,5H8SQT3GcZs1Pug0sMXTEY,0.0,1,0.301,-12.85,1,Here Comes Santa Claus (Right Down Santa Claus Lane) - 1947 Version,12,1947,0.0369,96.629,0.976,1947
80568,0.99,"Frédéric Chopin', 'Eugene Ormandy', 'Philadelphia Orchestra",0.3720000000000001,516827,0.16,0,0ZH9Mmuz1tgbQowfqkMwqL,0.878,10,0.153,-20.184,0,"Piano Concerto No. 2 in F Minor, Op. 21 (Remastered): III. Allegro vivace",1,1953,0.0329,96.627,0.181,1953
22172,0.993,Santosh Sengupta,0.294,184827,0.241,0,3KSTpSGhrMtNyohQxvugsV,0.0154,9,0.152,-11.934,1,Tumi Jabe Chole Balo Ki,0,1934-12-01,0.0407,161.764,0.203,1934
36709,2.95e-05,"Markus Schulz', 'DJ Genix",0.4970000000000001,83484,0.913,0,7gpeon7PP4K5jm2TxX8OJF,0.919,1,0.603,-11.15,1,Fly To Colors [ASOT 332] - DJ Genix Remix,8,2007-12-27,0.0622,137.996,0.556,2007
127299,0.875,"n/a', 'Nitsch, Johannes', 'In Motion",0.338,295267,0.465,0,7zwHsmRERRkjE10hxuMpEo,0.418,11,0.124,-8.317,0,fantasy,0,1935,0.0384,92.036,0.502,1935
171179,0.8490000000000001,Panic! At The Disco,0.463,36973,0.157,0,0JSnEZMwlEcq5eKiyZvy4F,0.856,7,0.0944,-23.485,1,Introduction,43,2005-09-27,0.493,130.334,0.526,2005
26247,0.807,Machito & His Afro Cubans,0.556,162147,0.42,0,1NSdbYG13hoZuCFWshtGmE,0.00157,7,0.134,-8.365,0,Consternación,16,1954-01-01,0.0388,81.595,0.7140000000000001,1954
35501,0.244,"Nelly', 'Kelly Rowland",0.728,289783,0.585,1,4Nj31C6sOc3cCfCZvULoE7,7.63e-05,2,0.177,-7.104,0,Dilemma,13,2020-12-16,0.157,168.118,0.597,2020
64642,0.82,Enrique Guzman,0.234,188400,0.332,0,08kmqqmSnHl2KbnGCbdlbw,0.0,5,0.565,-9.335,1,Te Necesito (Io Cerco Te),35,1960,0.0349,128.567,0.211,1960
121775,0.926,Randy Edelman,0.191,194093,0.265,0,5LeCbkjJuhtqQhwXziPgUn,0.826,9,0.0428,-12.469,0,To The Stars - Dragonheart/Soundtrack Version,46,1996-01-01,0.0322,85.01799999999999,0.0379,1996
109811,0.0774,Carnage & Cluster,0.479,244706,0.992,0,4Y2ZkOLYdHwESlPYqWhSuP,0.741,8,0.588,-4.189,0,Eclipse - 2018 Remaster,0,2020-03-25,0.0563,175.065,0.0849,2020
95474,0.211,Эрих Мария Ремарк,0.7190000000000001,111400,0.152,1,34v5shha0ZdOpbOR9kUb6l,0.00013000000000000002,2,0.147,-19.849,0,Часть 123.2 - Триумфальная арка,0,1945,0.92,118.89,0.498,1945
8122,0.812,The Shirelles,0.398,120307,0.325,0,36f5xtZ2CXIc1WOirnnD3j,0.0,10,0.16899999999999998,-6.159,1,Dedicated To The One I Love,42,1961-01-01,0.0382,80.563,0.454,1961
142675,0.687,nilu,0.172,249661,0.409,0,2NTww3JSBHpySR2plYyAd6,6.879999999999999e-05,9,0.103,-8.668,1,Are You With Me,70,2018-01-25,0.0324,83.995,0.0608,2018
79714,0.989,Suraiya,0.616,196893,0.138,0,0ySzGRq04SQyYVa2MznozF,0.00977,5,0.122,-18.165,0,Duniya Kya Jane Mera Afsana,0,1949-12-31,0.0442,124.37,0.69,1949
77110,0.952,Damia,0.358,176427,0.281,0,5KXzMtUF7ovXrwzCf8NZjY,7.99e-06,6,0.28600000000000003,-13.958,0,Hantise,0,1928,0.0484,95.894,0.373,1928
89135,0.00462,Pearl Jam,0.442,231813,0.835,0,5707A8XNKQT26Ciek7H9KV,0.0855,7,0.16899999999999998,-7.041,1,Smile,49,1996-08-06,0.0295,156.39600000000004,0.6829999999999999,1996
111361,0.992,Francisco Canaro,0.603,174373,0.236,0,60cdnzTQSGB6TAM1vb418s,0.789,11,0.0643,-9.829,1,El Vals de los Abuelos - Remasterizado,0,1942-03-08,0.0435,93.989,0.728,1942
33518,0.326,Jerry Rivera,0.528,211587,0.7140000000000001,0,23gGTtWSjeTx4HEnAfdCgW,2.62e-06,5,0.158,-7.282,1,Ese,59,1990,0.246,79.344,0.603,1990
69194,0.985,Brian Eno,0.384,275187,0.1,0,64Rc8eAYEcIVK486usaKtb,0.951,1,0.107,-22.24,0,Weightless - Remastered 2005,40,1983-07-01,0.0314,68.938,0.109,1983
140748,0.154,Timbiriche,0.727,233667,0.716,0,1SugSbcbW78x4VAgixwiG0,2.49e-05,2,0.363,-13.303,1,Si No Es Ahora,63,2009-01-01,0.0398,141.36700000000005,0.926,2009
29225,0.812,Jerry Lee Lewis,0.377,173159,0.615,0,19J1kwHa3sgxLwaWDleGhd,0.000322,0,0.154,-8.431000000000001,1,Whole Lotta Shakin' Going On,45,1969-01-01,0.0309,161.532,0.5529999999999999,1969
134241,0.0729,Rush,0.264,947427,0.816,0,2K37KFRAfhouZEuy3dzT7M,0.0171,2,0.972,-8.55,1,2112 - Live,24,1976-09-29,0.0942,135.642,0.271,1976
173127,0.278,"GoldLink', 'Masego",0.442,161080,0.446,1,60ZZNXIdwgUGkVGRt7foLT,0.0,9,0.308,-11.354,0,Late Night (feat. Masego),58,2015-11-06,0.7859999999999999,51.539,0.295,2015
22690,0.546,Tadeusz Dolega Mostowicz,0.6859999999999999,126500,0.227,0,0JxX83GjWo0AfrKHiX8BXe,1.08e-06,1,0.174,-22.07800000000001,1,Chapter 11.9 - Drugie życie doktora Murka,0,1936-12-23,0.957,102.839,0.552,1936
39348,0.757,Taylor Swift,0.777,210252,0.35700000000000004,1,0Jlcvv8IykzHaSmj49uNW8,7.28e-06,0,0.108,-6.942,1,the 1,79,2020-07-24,0.0522,139.88299999999998,0.172,2020
